country,crop,plant_median,temp_average,temp_at_planting,precip_at_planting,crop_code
Albania,Wheat,319,13.2985334102017,9.90787253133757,163.806151058595,5
Algeria,Wheat,334.5,15.7388342876275,10.2714986371231,63.4715344082052,8
Algeria,Barley,334.5,15.5364456227658,9.85090474598347,58.2361269397544,6
Algeria,Rice,122.5,16.0146533437164,15.3481518151563,46.8812981233261,7
Angola,Wheat,136,21.4199394939949,21.0143261629053,20.0065336314645,17
Angola,Rice,319.5,21.4024768166963,22.2251709390555,175.622711768713,16
Angola,Millet,335,21.4082423497156,22.1440202187544,178.299685088199,15
Argentina,Barley,213,15.3323192125963,9.07739921694221,34.1593551391192,18
Argentina,Millet,301.5,17.0681392895245,18.4507482453199,87.6358810863077,19
Armenia,Wheat,258.5,7.43351244947371,15.7768077215849,29.7413826157747,26
Bangladesh,Wheat,345.5,25.5140171738045,20.0473617217674,7.86691373363562,29
Belarus,Rye,245,6.10698751788047,14.1927075522398,62.1173855125468,34
Belarus,Barley,121,6.10636089005972,10.166233519939,48.1870470344761,33
Benin,Millet,166.5,27.8695140492533,27.5899233538835,143.42412722984,35
Benin,Rice,121,27.8570525516121,30.0248130267668,88.3115542890826,36
Bolivia,Wheat,334.5,18.694701245362,20.7994394624164,109.900548187121,39
Bolivia,Barley,319,21.3379215519168,23.3510372811046,99.6953226032919,37
Bolivia,Rice,319.5,23.5402941802975,25.4122514471137,118.27974877497,38
Botswana,Wheat,136,20.81302683416,16.9166500435319,6.97441142754777,41
Botswana,Millet,334.5,21.323904264719,25.0347031116369,72.9005594921108,40
Brazil,Barley,166.5,18.3189958842707,13.8470090516854,134.668157316807,46
Burkina Faso,Millet,166.5,28.9981593070306,30.376614833305,97.8219532595838,48
Burkina Faso,Rice,350,28.3851948538285,25.6827682924545,2.53182080084332,49
Cambodia,Rice,220.5,27.3706437877275,27.5822336051918,250.952096978526,54
Cambodia,Rice,350.5,27.3706437877275,25.3660246527908,29.844120969021,54
Cameroon,Millet,166.5,24.0391569775445,23.9354660787703,187.818769314006,55
Cameroon,Rice,166.5,23.9360304660922,23.7860132789774,190.29741403446,56
Central African Republic,Millet,182,25.2238130007069,24.5454598178945,196.759587749745,59
Central African Republic,Rice,182,24.8976038507498,24.2654363204213,191.281167287557,60
Chad,Millet,166.5,27.9779824583504,30.3669418841621,56.9610360377634,65
Chad,Rice,182,26.6731681792319,25.9710499358093,184.330470941063,66
Chile,Wheat,166.5,11.8716818343657,7.32751294062452,209.451357298626,72
Chile,Barley,227.5,11.3826210911478,7.29918303669178,200.257815385377,70
Chile,Rice,319,13.0972584054702,15.2088477985586,26.6470346308693,71
Colombia,Wheat,75,19.4444158529318,19.8373446117237,151.028312234071,78
Colombia,Barley,75.5,19.9905300364275,20.3997700007904,151.086750927861,76
Colombia,Rice,60.5,22.2209334595441,22.6457988549475,122.281190142194,77
Congo Dem. Rep.,Millet,136,23.9639338330187,24.3463400544756,66.2332931954271,83
Congo Dem. Rep. (North),Rice,212.5,23.3023453574101,22.3160663117359,170.551931778386,81
Congo Dem. Rep. (South),Rice,0.5,22.7950226776319,22.6961495008813,166.193924888411,82
Costa Rica,Rice,121,26.074689014372,27.0542426326573,161.357233510007,84
Costa Rica,Rice,243,26.074689014372,25.7881197853727,327.866736734831,84
Cuba,Rice,126.5,25.181317994024,25.7195131977801,150.659807311835,87
